id,posX,posY
/ A-line,,
#Portland OR,,
A1,160,52
A2,196,53
A3,211,69
A4,220,88
A5,234,103
A6,246,125
A7,263,145
A8,291,148
#Pocatello,,
A9,338,167
A10,364,190
A11,395,193
A12,423,193
A13,452,197
A14,471,214
A15,504,209
A16,539,207
A17,570,213
A18,599,215
A19,625,224
A20,648,236
A21,668,249
/ B-line,,
B1,322,90
B2,326,108
B3,326,130
#Pocatello,,
B4,328,168
B5,327,190
#Salt Lake City,,
B6,318,234
B7,302,260
B8,281,275
B9,264,287
#Las Vegas,,
B10,237,331
B11,204,330
B12,194,351
#Los Angels,,
/ X-line,,
X1,344,195
X2,628,194
